Timestamp,Ch1_Bias,Ch1_Derived_Peak,Ch1_Direct,Ch1_Direct RMS,Ch1_Veolocity_Peak,Ch1_Velocity_RMS,Ch2_Bias,Ch2_Derived_Peak,Ch2_Direct,Ch2_Direct_RMS,Ch2_Velocity_Peak,Ch2_Velocity_RMS
7/22/23 17:53,-12.024,0.002,0.002,0.002,0.006,0.001,-11.978,0.001,0.002,0.001,0.004,0.003
7/22/23 19:18,-12.025,0.001,0.004,0.001,0.002,0.006,-11.979,0.001,0.003,0,0.002,0.001
7/22/23 20:53,-12.025,0.002,0.002,0.001,0.002,0.001,-11.978,0.001,0.003,0.001,0.002,0.001
7/23/23 0:10,-12.024,0.001,0.003,0,0.003,0.002,-11.979,0.001,0.002,0,0.003,0.002
7/23/23 2:45,-12.025,0.001,0.003,0.001,0.003,0.001,-11.978,0.001,0.003,0,0.004,0.002
7/23/23 5:30,-12.023,0.001,0.002,0,0.002,0.002,-11.979,0.001,0.002,0.001,0.002,0.001
7/23/23 6:14,-12.023,0.001,0.002,0,0.002,0.001,-11.978,0.001,0.002,0,0.002,0.001
7/23/23 9:59,-12.024,0.002,0.003,0.001,0.004,0.002,-11.979,0.002,0.003,0.001,0.005,0.002
7/23/23 11:02,-12.024,0.003,0.002,0.002,0.004,0.001,-11.978,0.002,0.002,0.001,0.002,0.001
7/23/23 13:47,-12.025,0.001,0.004,0,0.002,0.002,-11.98,0.001,0.003,0,0.004,0.002
7/23/23 18:25,-12.025,0.002,0.002,0.001,0.004,0.001,-11.98,0.001,0.003,0,0.004,0.002
7/23/23 18:38,-12.025,0.001,0.003,0.001,0.002,0.002,-11.979,0.001,0.002,0.001,0.002,0.001
7/23/23 20:00,-12.025,0.003,0.004,0.002,0.004,0.002,-11.98,0.001,0.003,0,0.002,0
7/24/23 0:54,-12.024,0.001,0.002,0.001,0.002,0.001,-11.978,0.002,0.002,0.001,0.004,0.002
7/24/23 2:28,-12.025,0.002,0.004,0.002,0.006,0.003,-11.979,0.002,0.006,0.002,0.007,0.001
7/24/23 5:45,-12.024,0.001,0.002,0,0.002,0.001,-11.978,0.001,0.002,0,0.002,0.003
7/24/23 6:44,-12.024,0.001,0.009,0,0.002,0,-11.978,0.006,0.002,0.004,0.002,0.001
7/24/23 10:59,-12.025,0.005,0.002,0.004,0.01,0.006,-11.979,0.001,0.007,0,0.008,0.005
7/24/23 11:03,-12.025,0.004,0.002,0.003,0.002,0.003,-11.979,0.001,0.002,0,0.011,0.003
7/24/23 14:36,-12.027,0.001,0.012,0,0.012,0.001,-11.981,0.005,0.01,0.003,0.002,0.001
7/24/23 16:04,-12.027,0.002,0.002,0.002,0.002,0.003,-11.98,0.002,0.002,0.001,0.013,0.003
7/24/23 18:37,-12.028,0.001,0.015,0,0.013,0.001,-11.982,0.001,0.013,0,0.002,0.001
7/24/23 20:02,-12.027,0.001,0.002,0,0.002,0.001,-11.981,0.001,0.003,0,0.002,0.001
7/25/23 0:36,-12.026,0.001,0.004,0.001,0.003,0.002,-11.979,0.001,0.002,0.001,0.003,0.002
7/25/23 1:11,-12.026,0.001,0.002,0,0.002,0.001,-11.98,0.001,0.009,0,0.002,0.001
7/25/23 4:55,-12.024,0.004,0.012,0.003,0.022,0.005,-11.978,0.004,0.002,0.003,0.018,0.003
7/25/23 6:06,-12.024,0.002,0.002,0.002,0.002,0.001,-11.978,0.002,0.002,0.002,0.002,0.002
7/25/23 10:56,-12.026,0.001,0.005,0,0.008,0.003,-11.979,0.001,0.004,0,0.007,0.001
7/25/23 11:22,-12.025,0.001,0.002,0,0.002,0.001,-11.979,0.001,0.002,0,0.002,0.001
7/25/23 15:49,-12.027,0.003,0.005,0.002,0.008,0.006,-11.981,0.002,0.004,0.002,0.007,0.006
7/25/23 17:41,-12.027,0.001,0.005,0,0.008,0.003,-11.981,0.002,0.006,0.001,0.001,0.001
7/25/23 19:54,-12.026,0.002,0.002,0.002,0.001,0.001,-11.98,0.001,0.002,0,0.009,0.002
7/25/23 20:11,-12.027,0.001,0.002,0,0.002,0.001,-11.981,0.001,0.002,0,0.008,0.001
7/26/23 0:37,-12.025,0.003,0.005,0.002,0.008,0.004,-11.979,0.003,0.006,0.002,0.002,0.004
7/26/23 1:07,-12.026,0.001,0.002,0,0.002,0.001,-11.979,0.002,0.005,0.002,0.004,0.002
7/26/23 5:27,-12.024,0.002,0.005,0.002,0.004,0.003,-11.978,0.001,0.002,0,0.002,0.001
7/26/23 6:42,-12.024,0.001,0.002,0,0.002,0.001,-11.978,0.001,0.006,0,0.002,0.001
7/26/23 10:54,-12.026,0.009,0.006,0.006,0.009,0.01,-11.979,0.006,0.002,0.005,0.009,0.007
7/26/23 11:09,-12.025,0.005,0.002,0.003,0.011,0.006,-11.979,0.003,0.002,0.002,0.009,0.005
7/26/23 15:09,-12.027,0.001,0.007,0,0.002,0.001,-11.981,0.001,0.006,0,0.002,0.001
7/26/23 17:10,-12.026,0.003,0.005,0.002,0.011,0.005,-11.981,0.002,0.004,0.002,0.009,0
7/26/23 19:23,-12.027,0.001,0.002,0,0.002,0.001,-11.979,0.001,0.002,0,0.002,0.004
7/26/23 21:22,-12.027,0.002,0.004,0.001,0.005,0.002,-11.981,0.002,0.004,0.001,0.002,0.003
7/27/23 0:40,-12.026,0.001,0.002,0,0.002,0.001,-11.979,0.001,0.002,0,0.005,0.001
7/27/23 1:15,-12.026,0.001,0.002,0,0.002,0,-11.98,0.001,0.002,0,0.002,0.001
7/27/23 4:50,-12.025,0.005,0.008,0.004,0.007,0.005,-11.979,0.006,0.008,0.004,0.007,0.005
7/27/23 6:21,-12.025,0.001,0.002,0.001,0.002,0.001,-11.979,0.001,0.002,0,0.002,0.001
7/27/23 10:53,-12.028,0.038,0.056,0.027,0.056,0.039,-11.981,0.031,0.05,0.022,0.053,0.032
7/27/23 12:31,-12.027,0.01,0.01,0.007,0.002,0.008,-11.98,0.01,0.01,0.007,0.01,0.009
7/27/23 15:26,-12.028,0.001,0.002,0,0.01,0.001,-11.982,0.001,0.002,0,0.002,0.001
